Tanggal;Jumlah_Butir ;Jumlah_Berat_Butir;Jumlah_Ayam 
2021-09-20;1171;61;1235
2021-09-21;1284;67;1235
2021-09-22;1132;59;1235
2021-09-23;1195;62;1235
2021-09-24;1122;59;1235
2021-09-25;1242;65;1235
2021-09-26;1273;67;1235
2021-09-27;1206;63;1235
2021-09-28;1367;71;1235
2021-09-29;1148;60;1235
2021-09-30;1138;59;1235
2021-10-01;1195;62;1235
2021-10-02;1226;64;1235
2021-10-03;1164;61;1235
2021-10-04;1208;63;1235
2021-10-05;1335;70;1235
2021-10-06;1296;68;1235
2021-10-07;1141;60;1235
2021-10-08;1117;58;1235
2021-10-09;1169;61;1235
2021-10-10;1408;74;1235
2021-10-11;1373;72;1235
2021-10-12;1209;63;1234
2021-10-13;1387;73;1234
2021-10-14;1127;59;1234
2021-10-15;1366;71;1234
2021-10-16;1203;63;1234
2021-10-17;1317;69;1234
2021-10-18;1321;69;1234
2021-10-19;1116;58;1234
2021-10-20;1227;64;1234
2021-10-21;1188;62;1234
2021-10-22;1351;71;1234
2021-10-23;1150;60;1233
2021-10-24;1332;70;1233
2021-10-25;1345;70;1233
2021-10-26;1211;63;1233
2021-10-27;1372;72;1233
2021-10-28;1123;59;1233
2021-10-29;1289;67;1233
2021-10-30;1215;63;1233
2021-10-31;1230;64;1233
2021-11-01;1283;67;1233
2021-11-02;1407;74;1233
2021-11-03;1323;69;1233
2021-11-04;1310;68;1233
2021-11-05;1129;59;1233
2021-11-06;1414;74;1233
2021-11-07;1331;70;1233
2021-11-08;1149;60;1233
2021-11-09;1138;59;1233
2021-11-10;1277;67;1233
2021-11-11;1294;68;1233
2021-11-12;1205;63;1233
2021-11-13;1371;72;1233
2021-11-14;1188;62;1233
2021-11-15;1201;63;1233
2021-11-16;1217;64;1233
2021-11-17;1227;64;1233
2021-11-18;1404;73;1233
2021-11-19;1386;72;1233
2021-11-20;1237;65;1233
2021-11-21;1173;61;1233
2021-11-22;1289;67;1233
2021-11-23;1231;64;1233
2021-11-24;1245;65;1233
2021-11-25;1187;62;1233
2021-11-26;1118;58;1233
2021-11-27;1319;69;1233
2021-11-28;1321;69;1233
2021-11-29;1337;70;1233
2021-11-30;1259;66;1233
2021-12-01;1308;68;1233
2021-12-02;1164;61;1233
2021-12-03;1401;73;1233
2021-12-04;1397;73;1233
2021-12-05;1156;60;1233
2021-12-06;1133;59;1233
2021-12-07;1244;65;1233
2021-12-08;1208;63;1233
2021-12-09;1188;62;1233
2021-12-10;1303;68;1233
2021-12-11;1271;66;1233
2021-12-12;1371;72;1233
2021-12-13;1287;67;1233
2021-12-14;1319;69;1233
2021-12-15;1340;70;1233
2021-12-16;1392;73;1233
2021-12-17;1406;74;1233
2021-12-18;1153;60;1233
2021-12-19;1187;62;1233
2021-12-20;1353;71;1233
2021-12-21;1367;71;1233
2021-12-22;1275;67;1233
2021-12-23;1118;58;1233
2021-12-24;1263;66;1233
2021-12-25;1400;73;1233
2021-12-26;1254;66;1233
2021-12-27;1368;72;1233
2021-12-28;1346;70;1233
2021-12-29;1362;71;1233
2021-12-30;1288;67;1233
2021-12-31;1308;68;1233
2022-01-01;1403;73;1233
2022-01-02;1172;61;1233
2022-01-03;1174;61;1233
2022-01-04;1338;70;1233
2022-01-05;1138;59;1233
2022-01-06;1173;61;1233
2022-01-07;1390;73;1233
2022-01-08;1358;71;1233
2022-01-09;1338;70;1233
2022-01-10;1197;63;1233
2022-01-11;1131;59;1233
2022-01-12;1219;64;1233
2022-01-13;1296;68;1233
2022-01-14;1375;72;1233
2022-01-15;1255;66;1233
2022-01-16;1305;68;1233
2022-01-17;1146;60;1233
2022-01-18;1179;62;1233
2022-01-19;1316;69;1233
2022-01-20;1407;74;1233
2022-01-21;1123;59;1233
2022-01-22;1351;71;1233
2022-01-23;1374;72;1233
2022-01-24;1114;58;1233
2022-01-25;1159;61;1233
2022-01-26;1267;66;1233
2022-01-27;1164;61;1233
2022-01-28;1321;69;1233
2022-01-29;1137;59;1233
2022-01-30;1354;71;1233
2022-01-31;1253;65;1233
2022-02-01;1146;60;1233
2022-02-02;1293;68;1233
2022-02-03;1171;61;1233
2022-02-04;1235;65;1233
2022-02-05;1384;72;1233
2022-02-06;1334;70;1233
2022-02-07;1407;74;1233
2022-02-08;1242;65;1233
2022-02-09;1404;73;1233
2022-02-10;1322;69;1233
2022-02-11;1258;66;1233
2022-02-12;1383;72;1233
2022-02-13;1155;60;1233
2022-02-14;1211;63;1233
2022-02-15;1116;58;1233
2022-02-16;1175;61;1233
2022-02-17;1404;73;1233
2022-02-18;1420;74;1233
2022-02-19;1196;62;1233
2022-02-20;1334;70;1233
2022-02-21;1300;68;1233
2022-02-22;1386;72;1233
2022-02-23;1255;66;1233
2022-02-24;1408;74;1233
2022-02-25;1415;74;1233
2022-02-26;1389;73;1233
2022-02-27;1160;61;1233
2022-02-28;1339;70;1233
2022-03-01;1204;63;1233
2022-03-02;1271;66;1233
2022-03-03;1372;72;1233
2022-03-04;1240;65;1233
2022-03-05;1230;64;1233
2022-03-06;1263;66;1233
2022-03-07;1338;70;1232
2022-03-08;1272;66;1232
2022-03-09;1350;71;1232
2022-03-10;1122;59;1232
2022-03-11;1298;68;1232
2022-03-12;1363;71;1232
2022-03-13;1393;73;1232
2022-03-14;1293;68;1232
2022-03-15;1249;65;1232
2022-03-16;1267;66;1232
2022-03-17;1411;74;1231
2022-03-18;1358;71;1231
2022-03-19;1293;68;1231
2022-03-20;1247;65;1231
2022-03-21;1346;70;1231
2022-03-22;1158;60;1231
2022-03-23;1418;74;1231
2022-03-24;1199;63;1231
2022-03-25;1268;66;1231
2022-03-26;1176;61;1231
2022-03-27;1358;71;1231
2022-03-28;1329;69;1230
2022-03-29;1210;63;1230
2022-03-30;1180;62;1230
2022-03-31;1326;69;1230
2022-04-01;1387;73;1230
2022-04-02;1232;64;1230
2022-04-03;1404;73;1230
2022-04-04;1409;74;1230
2022-04-05;1238;65;1230
2022-04-06;1342;70;1230
2022-04-07;1187;62;1230
2022-04-08;1257;66;1230
